yas,cinsiyet,egitim,sporgun,sporsure,yoruculuk,sportakim,sporamac,not
24,1,1,3.0,2.0,3.0,2.0,2,4
24,2,1,1.0,2.0,2.0,2.0,2,5
19,1,0,3.0,4.0,5.0,0.0,5,6
19,1,0,4.0,2.0,2.0,0.0,2,5
18,1,0,3.0,4.0,5.0,2.0,5,6
25,2,0,0.0,0.0,0.0,0.0,2,5
31,1,0,3.0,4.0,3.0,2.0,2,4
19,1,0,3.0,4.0,3.0,2.0,5,5
23,1,0,0.0,0.0,0.0,0.0,1,1
26,2,1,0.0,0.0,0.0,0.0,3,5
30,1,1,3.0,4.0,5.0,0.0,2,5
20,1,0,2.0,3.0,5.0,2.0,4,6
23,1,0,4.0,4.0,4.0,2.0,3,5
23,1,0,1.0,2.0,2.0,0.0,2,4
22,1,0,3.0,3.0,5.0,2.0,5,5
20,2,0,1.0,2.0,3.0,0.0,2,4
24,1,0,0.0,0.0,0.0,0.0,3,5
23,1,0,3.0,3.0,3.0,2.0,2,4
22,2,0,1.0,3.0,4.0,2.0,4,6
22,1,0,0.0,0.0,0.0,0.0,2,6
24,1,0,4.0,4.0,3.0,0.0,2,4
21,1,0,1.0,2.0,3.0,2.0,2,4
18,1,0,4.0,4.0,5.0,2.0,4,5
21,1,0,1.0,2.0,2.0,0.0,2,5
31,1,0,2.0,3.0,3.0,2.0,3,3
24,1,0,2.0,3.0,3.0,0.0,2,5
24,1,0,0.0,0.0,0.0,0.0,2,5
30,2,1,3.0,4.0,4.0,0.0,2,5
45,2,0,2.0,3.0,2.0,2.0,2,5
24,1,0,1.0,2.0,2.0,2.0,2,4
24,1,0,2.0,2.0,3.0,2.0,4,3
24,1,0,1.0,2.0,2.0,2.0,2,3
23,1,0,7.0,4.0,5.0,2.0,5,6
32,2,0,2.0,3.0,2.0,0.0,2,2
22,2,0,3.0,2.0,2.0,0.0,2,4
25,1,1,0.0,0.0,4.0,0.0,5,6
22,2,0,2.0,2.0,3.0,2.0,2,4
23,2,0,2.0,2.0,2.0,0.0,2,6
22,1,0,3.0,3.0,2.0,0.0,2,4
23,1,0,2.0,4.0,4.0,0.0,5,4
22,2,0,3.0,3.0,3.0,2.0,2,6
23,1,0,1.0,2.0,3.0,2.0,4,2
23,1,0,2.0,3.0,3.0,2.0,2,4
23,1,0,0.0,0.0,0.0,0.0,4,5
21,1,0,1.0,2.0,0.0,0.0,2,5
24,1,0,3.0,4.0,4.0,0.0,5,4
55,1,0,1.0,2.0,2.0,0.0,2,5
22,1,0,0.0,0.0,0.0,0.0,5,5
19,2,0,1.0,2.0,2.0,0.0,2,5
22,2,0,2.0,2.0,2.0,0.0,2,6
30,1,1,2.0,0.0,0.0,0.0,1,6
23,2,0,0.0,0.0,0.0,0.0,2,4
22,2,0,1.0,2.0,2.0,2.0,1,6
21,1,0,2.0,3.0,4.0,0.0,3,3
20,2,0,2.0,2.0,3.0,0.0,2,5
24,1,0,1.0,3.0,4.0,2.0,2,6
23,1,0,3.0,4.0,4.0,0.0,2,6
20,2,0,1.0,4.0,5.0,0.0,2,5
23,1,0,2.0,3.0,2.0,0.0,2,5
34,2,1,2.0,3.0,3.0,2.0,2,6
21,1,0,3.0,4.0,5.0,0.0,2,4
23,1,0,0.0,0.0,0.0,0.0,2,4
22,2,0,0.0,0.0,0.0,0.0,5,6
22,1,0,3.0,3.0,4.0,2.0,3,5
20,2,0,2.0,2.0,3.0,0.0,2,5
23,2,0,3.0,4.0,4.0,0.0,4,5
20,2,0,3.0,3.0,2.0,2.0,2,5
31,2,1,0.0,0.0,0.0,0.0,2,6
23,2,0,1.0,3.0,4.0,0.0,3,5
23,1,0,0.0,0.0,0.0,0.0,5,5
26,2,1,0.0,0.0,0.0,0.0,2,5
25,2,0,2.0,3.0,3.0,2.0,2,6
22,2,0,3.0,3.0,4.0,0.0,2,5
26,2,1,1.0,3.0,2.0,0.0,2,6
33,2,1,4.0,3.0,3.0,0.0,5,6
27,2,0,2.0,3.0,4.0,0.0,3,6
22,2,0,2.0,3.0,4.0,2.0,4,5
20,2,0,0.0,0.0,0.0,0.0,2,5
21,1,0,3.0,4.0,4.0,2.0,5,5
