yas,cinsiyet,egitim,sporgun,sporsure,yoruculuk,sportakim,sporamac,not
24,1.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0
24,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0
19,1.0,0.0,3.0,4.0,5.0,0.0,5.0,6.0
19,1.0,0.0,4.0,2.0,2.0,0.0,2.0,5.0
18,1.0,0.0,3.0,4.0,5.0,2.0,5.0,6.0
25,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
31,1.0,0.0,3.0,4.0,3.0,2.0,2.0,4.0
19,1.0,0.0,3.0,4.0,3.0,2.0,5.0,5.0
23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
26,2.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0
30,1.0,1.0,3.0,4.0,5.0,0.0,2.0,5.0
20,1.0,0.0,2.0,3.0,5.0,2.0,4.0,6.0
23,1.0,0.0,4.0,4.0,4.0,2.0,3.0,5.0
23,1.0,0.0,1.0,2.0,2.0,0.0,2.0,4.0
22,1.0,0.0,3.0,3.0,5.0,2.0,5.0,5.0
20,2.0,0.0,1.0,2.0,3.0,0.0,2.0,4.0
24,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
23,1.0,0.0,3.0,3.0,3.0,2.0,2.0,4.0
22,2.0,0.0,1.0,3.0,4.0,2.0,4.0,6.0
22,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
24,1.0,0.0,4.0,4.0,3.0,0.0,2.0,4.0
21,1.0,0.0,1.0,2.0,3.0,2.0,2.0,4.0
18,1.0,0.0,4.0,4.0,5.0,2.0,4.0,5.0
21,1.0,0.0,1.0,2.0,2.0,0.0,2.0,5.0
31,1.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0
24,1.0,0.0,2.0,3.0,3.0,0.0,2.0,5.0
24,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
30,2.0,1.0,3.0,4.0,4.0,0.0,2.0,5.0
45,2.0,0.0,2.0,3.0,2.0,2.0,2.0,5.0
24,1.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0
24,1.0,0.0,2.0,2.0,3.0,2.0,4.0,3.0
24,1.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0
23,1.0,0.0,7.0,4.0,5.0,2.0,5.0,6.0
32,2.0,0.0,2.0,3.0,2.0,0.0,2.0,2.0
22,2.0,0.0,3.0,2.0,2.0,0.0,2.0,4.0
25,1.0,1.0,0.0,0.0,4.0,0.0,5.0,6.0
22,2.0,0.0,2.0,2.0,3.0,2.0,2.0,4.0
23,2.0,0.0,2.0,2.0,2.0,0.0,2.0,6.0
22,1.0,0.0,3.0,3.0,2.0,0.0,2.0,4.0
23,1.0,0.0,2.0,4.0,4.0,0.0,5.0,4.0
22,2.0,0.0,3.0,3.0,3.0,2.0,2.0,6.0
23,1.0,0.0,1.0,2.0,3.0,2.0,4.0,2.0
23,1.0,0.0,2.0,3.0,3.0,2.0,2.0,4.0
