yas,sporgun,sporsure,sportakim,not
24,3-4,1-30,1-2,56-70
24,1,1-30,1-2,71-85
19,3-4,61-90,0,86-100
19,5-6,1-30,0,71-85
20,2,1-30,0,71-85
18,3-4,91-120,1-2,86-100
25,0,0,0,71-85
31,3-4,61-90,7-8,56-70
19,3-4,61-90,5-6,71-85
23,0,0,0,0-25
26,0,0,0,71-85
30,3-4,61-90,0,71-85
20,2,31-60,1-2,86-100
23,5-6,61-90,1-2,71-85
23,1,1-30,0,56-70
22,3-4,31-60,5-6,71-85
20,1,1-30,0,56-70
24,0,0,0,71-85
29,0,0,0,26-40
23,3-4,31-60,3-4,56-70
22,1,31-60,3-4,86-100
22,0,0,0,86-100
24,5-6,61-90,0,56-70
21,1,1-30,1-2,56-70
18,5-6,61-90,3-4,71-85
21,1,1-30,0,71-85
31,2,31-60,3-4,41-55
24,2,31-60,0,71-85
24,0,0,0,71-85
30,3-4,61-90,0,71-85
45,2,31-60,1-2,71-85
24,1,1-30,1-2,56-70
24,2,1-30,1-2,41-55
24,1,1-30,1-2,41-55
23,7,61-90,1-2,86-100
32,2,31-60,0,26-40
22,3-4,1-30,0,56-70
25,0,0,0,86-100
22,2,1-30,1-2,56-70
23,2,1-30,0,86-100
22,3-4,31-60,0,56-70
23,2,61-90,0,56-70
22,3-4,31-60,5-6,86-100
23,1,1-30,1-2,26-40
23,2,31-60,1-2,56-70
23,0,0,0,71-85
21,1,1-30,0,71-85
24,3-4,61-90,0,56-70
55,1,1-30,0,71-85
22,0,0,0,71-85
19,1,1-30,0,71-85
22,2,1-30,0,86-100
30,2,0,0,86-100
23,0,0,0,56-70
22,1,1-30,1-2,86-100
21,2,31-60,0,41-55
38,0,0,1-2,41-55
20,2,1-30,0,71-85
46,1,1-30,1-2,56-70
21,2,1-30,1-2,41-55
24,1,31-60,5-6,86-100
23,3-4,61-90,0,86-100
20,1,61-90,0,71-85
23,2,31-60,0,71-85
34,2,31-60,9-10,86-100
21,3-4,61-90,0,56-70
23,0,0,0,56-70
22,0,0,0,86-100
22,3-4,31-60,1-2,71-85
20,2,1-30,0,71-85
23,3-4,121+,0,71-85
20,3-4,31-60,3-4,71-85
16,1,1-30,9-10,56-70
31,0,0,0,86-100
23,1,31-60,0,71-85
23,0,0,0,71-85
16,1,1-30,1-2,86-100
26,0,0,0,71-85
25,2,31-60,5-6,86-100
22,3-4,31-60,0,71-85
26,1,31-60,0,86-100
33,5-6,31-60,0,86-100
27,2,31-60,0,86-100
22,2,31-60,1-2,71-85
20,0,0,0,71-85
21,3-4,61-90,1-2,71-85
19,2,31-60,1-2,71-85
21,2,31-60,0,71-85
10,1,1-30,0,56-70
34,1,1-30,1-2,56-70
26,0,0,0,71-85
29,1,1-30,0,71-85
34,0,0,0,86-100
23,2,31-60,1-2,71-85
39,1,0,0,26-40
25,2,31-60,1-2,86-100
23,2,61-90,0,56-70
28,1,91-120,9-10,86-100
27,3-4,31-60,0,86-100
22,3-4,31-60,3-4,71-85
28,3-4,61-90,5-6,86-100
22,0,0,0,56-70
25,0,0,0,86-100
22,2,31-60,0,71-85
27,3-4,31-60,0,86-100
24,1,1-30,1-2,56-70
23,1,61-90,1-2,56-70
14,3-4,121+,5-6,86-100
14,3-4,61-90,7-8,86-100
27,1,1-30,0,86-100
27,2,31-60,0,86-100
30,0,0,0,86-100
36,7,121+,9-10,86-100
15,0,0,0,86-100
34,3-4,31-60,0,86-100
26,2,1-30,0,86-100
22,1,1-30,0,56-70
22,0,0,0,71-85
24,2,1-30,0,56-70
24,2,31-60,0,71-85
25,0,0,0,71-85
23,5-6,1-30,0,86-100
24,0,0,0,71-85
25,3-4,1-30,0,86-100
25,1,1-30,0,71-85
26,1,1-30,0,86-100
26,1,1-30,1-2,86-100
24,5-6,91-120,1-2,86-100
34,1,31-60,5-6,71-85
26,2,31-60,0,86-100
30,2,31-60,0,71-85
37,2,1-30,0,86-100
24,1,1-30,0,86-100
23,5-6,31-60,0,71-85
27,0,0,0,71-85
27,1,31-60,0,86-100
24,1,1-30,0,86-100
26,2,31-60,0,71-85
23,1,1-30,1-2,41-55
27,1,31-60,0,86-100
26,2,31-60,1-2,86-100
24,2,31-60,1-2,86-100
27,3-4,1-30,0,86-100
25,2,1-30,0,86-100
25,1,91-120,7-8,71-85
23,3-4,31-60,1-2,71-85
25,1,1-30,0,86-100
26,2,61-90,0,86-100
20,3-4,31-60,0,71-85
32,2,31-60,3-4,86-100
22,3-4,31-60,0,86-100
22,2,61-90,0,86-100
20,0,0,0,41-55
26,1,1-30,0,71-85
18,1,1-30,0,71-85
22,7,61-90,0,86-100
24,3-4,31-60,1-2,86-100
20,2,1-30,0,86-100
21,0,0,1-2,26-40
22,2,61-90,3-4,86-100
16,3-4,91-120,0,86-100
23,0,0,0,86-100
26,1,31-60,0,86-100
35,3-4,31-60,3-4,86-100
26,1,1-30,0,71-85
26,2,31-60,3-4,86-100
25,2,31-60,1-2,86-100
27,2,1-30,1-2,86-100
25,0,0,0,71-85
31,0,0,0,86-100
26,1,1-30,3-4,86-100
28,2,31-60,0,86-100
37,3-4,61-90,0,86-100
19,0,0,0,71-85
26,2,31-60,0,86-100
28,1,1-30,1-2,71-85
25,1,1-30,1-2,56-70
34,3-4,31-60,0,71-85
27,2,31-60,0,86-100
26,1,1-30,0,86-100
44,2,1-30,0,86-100
17,3-4,31-60,0,71-85
14,1,1-30,0,71-85
17,0,31-60,0,71-85
15,0,0,0,56-70
28,2,31-60,0,71-85
23,0,0,0,71-85
